,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsu_fac,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
422,422,9679.291685038972,3695.82766595846,378.2464983730468,690.0843446430645,2761.8540544583366,17.481417168079133,10.538603179611544,16.824533595170774,418.9180137075864,22.09570309959489,18.96717512595479,130.23950602498078,34.649234566066745,393.04816927779126,0.5199167713375554,-41.90408723509956,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3695.82766595846,0.33,0.33,-0.002,424.4920228200146,1.6962211151955586,128.86843872070312,208.9607696533203,-336.2191162109375,eta_4_x,0.0,1.1293722295246311,128.86843872070312,4788.69921875,-336.2191162109375,eta_3_top,0.0
423,423,17087.282219667275,17938.469926247773,556.0192012913759,692.646707427364,3203.2944102677257,27.297441605981486,10.840577557868718,22.7458067222909,114.08682718185996,20.589360889542327,29.907025206051056,313.5500639872407,25.85939149100296,409.1733369924046,0.5686078005365187,-43.28903555669639,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,17938.469926247773,0.33,0.33,-0.002,441.907203951797,1.6299437612143886,312.7447509765625,16108.806640625,-502.5558166503906,eta_4_x,0.0,0.4983053192728562,312.7447509765625,7098.2646484375,-502.5558166503906,eta_3_top,42.0
424,424,14382.47532832998,3028.056315712014,564.0756387702246,1132.3652408288085,3241.7991564784315,17.182029042149633,25.80831235723462,25.96634693497562,197.5202542613744,15.61750104780602,25.073845024406467,410.6154358496118,27.29447741828561,367.2326974192434,0.7007006070818739,16.09008228773122,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3028.056315712014,0.33,0.33,-0.002,396.6113132127829,1.9282558159777348,211.16827392578125,12731.109375,-3579.801025390625,eta_1_x,0.0,2.7118551012269188,2810.48876953125,12942.1015625,-517.0693359375,eta_3_bot,0.0
425,425,17187.670975383706,14562.078265460825,1195.9651525783945,911.0255814724133,3990.076782099589,25.01935538258656,26.753908403341995,28.417996159295814,308.1527973377278,15.741015346425868,22.877598457206386,138.59957812775863,34.43786384776319,424.4267815404024,0.7474304354066338,-40.23949584625812,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,14562.078265460825,0.33,0.33,-0.002,458.3809240636346,1.9627421933383784,507.7593383789063,7605.80712890625,-1148.7559814453125,eta_1_x,0.0,4.74276427798939,507.7593383789063,15869.0810546875,-2234.433349609375,eta_3_bot,0.0
426,426,14270.810872397737,4852.813953461945,1184.4197345324735,595.9911778745194,2978.7761630205737,29.54514223089128,18.70117106008192,18.21010936181548,387.61933499754576,23.891807769317488,26.354426391969078,170.6964633801726,37.467866874313714,376.244677578544,0.2051881509240072,11.270753573564177,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4852.813953461945,0.33,0.33,-0.002,406.3442517848276,1.818713018424281,338.4217529296875,12488.4716796875,-1137.04296875,eta_4_x,0.0,4.361782996216099,4504.13720703125,13424.50390625,-1959.6844482421875,eta_3_bot,0.0
427,427,16811.36342804033,6536.473248866842,1081.8149610125852,928.8938383655614,3365.4264043844364,11.445276119383683,17.910978182760243,16.066802856827437,341.2341984798268,16.76749194227806,25.50566992071456,118.62424180400116,46.87731686201576,314.2597774431726,0.2934193724697782,-16.177825358683545,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6536.473248866842,0.33,0.33,-0.002,339.4005596386264,2.056755314572162,6066.82421875,15328.669921875,-1042.236328125,eta_4_x,0.0,0.1780880198551202,455.8353271484375,15453.75,-3571.34619140625,eta_3_top,60.0
428,428,5181.316598425449,18023.461804482668,198.52552611594356,695.0211436635624,4109.085022019189,27.77909025823395,21.92819039174755,23.39467811662693,177.15361953410766,20.63492628263565,28.50436521904112,315.59861572762304,27.01712333489824,337.0256477372735,0.2323256106339617,-10.74793189257232,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,18023.461804482668,0.33,0.33,-0.002,363.98769955625545,2.3234502738648675,4037.729248046875,104.28733825683594,-151.8136444091797,eta_4_x,0.0,2.6186483760255275,4037.729248046875,389.2056579589844,-151.8136444091797,eta_3_bot,0.0
429,429,8808.56163055345,4039.778041301548,418.5262529815896,1002.0991020005972,3975.595290715609,26.887224432404903,25.990477634814223,19.24185357427004,350.85882305945654,29.326469067425577,11.412375125803946,354.6969490357335,49.705669314532,404.4876840749362,0.5624929573610226,18.56903967432509,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4039.778041301548,0.33,0.33,-0.002,436.8466988009312,1.7648534667202664,3894.648193359375,677.2440185546875,-370.6946716308594,eta_4_x,0.0,3.8422301171184623,3894.648193359375,677.2440185546875,-370.6946716308594,eta_3_bot,0.0
430,430,13952.094093072224,12405.723145785254,1090.701748295241,338.9883613212774,3568.9310036449992,28.920551662238317,23.141985824784264,22.718265442067,281.2984832657629,19.86106046375001,29.659834512502865,272.040950110036,48.023448439731055,388.8518132641231,0.1422571033301874,-15.787997861557775,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12405.723145785254,0.33,0.33,-0.002,419.959958325253,1.7519301858387246,173.0281524658203,6539.32861328125,-1015.48095703125,eta_1_x,0.0,2.2818319217434606,173.0281524658203,6539.32861328125,-1015.48095703125,eta_3_top,0.0
431,431,13916.509901336134,18789.948690207548,1190.354940495883,859.9354454240294,3787.426127575588,20.46192865975648,18.864872791985885,29.675515746944573,432.5001490101581,20.066203092504924,20.837380649205784,386.2824595918877,31.885942781864387,410.7984963785022,0.5100216289073138,44.00677308773517,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,18789.948690207548,0.33,0.33,-0.002,443.6623760887824,1.7027601967852255,18339.927734375,8278.8447265625,-1140.7568359375,eta_1_x,0.0,3.5370048431394348,18339.927734375,12674.380859375,-2176.081298828125,eta_3_bot,0.0
432,432,12950.196657470577,7327.173992174529,711.9762096052131,749.8942062924507,2156.32320707272,11.773193894498032,23.91450726968697,28.316147895996668,362.4311172607887,28.3237343640546,29.20815437142355,169.5824338555768,40.7901976591957,354.9426698646236,0.1452824470351925,14.864619324355534,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,7327.173992174529,0.33,0.33,-0.002,383.3380834537935,1.879785771145713,1464.47216796875,7735.904296875,-665.2892456054688,eta_1_x,0.0,2.9426245814478613,255.48838806152344,425.4075317382813,-665.2892456054688,eta_3_bot,0.0
433,433,13236.894940251635,15229.36989482057,727.7829957775402,1046.2722607015648,4970.006890436204,16.39719834036618,12.91812566307981,19.36050695340386,401.451002463947,20.77618728162527,25.20556892225107,244.95105110943095,37.394173966322896,402.5307283192725,0.8137336212617216,42.41342009183212,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15229.36989482057,0.33,0.33,-0.002,434.7331865848143,1.6571505433177414,14864.6240234375,4460.85595703125,-680.0595092773438,eta_1_x,0.0,1.6577035347371625,14864.6240234375,5657.35986328125,-680.0595092773438,eta_3_top,0.0
434,434,10009.761635454935,18050.75182680034,270.03941823856576,781.8188979482543,3802.166314143984,26.109058243253656,21.28343518613546,23.950385782829425,172.20147437272368,13.159988979669222,12.463315898587846,295.15131736194513,29.26975902922483,311.8367674095168,0.6087982240592096,-24.056603543122428,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,18050.75182680034,0.33,0.33,-0.002,336.78370880227817,2.207839532756616,9837.0673828125,8905.017578125,-3807.053466796875,eta_1_x,0.0,1.0712132919751234,9522.365234375,3995.35400390625,-223.07603454589844,eta_3_top,0.0
435,435,8619.73075602174,12063.781517797945,549.7225384659407,1044.5836375609683,2612.6760734723,12.089021407203411,10.899161744822644,29.014402974059134,329.3923009564448,11.237798011429788,21.00838412533872,376.56628269829935,31.482225626984413,379.8399605290629,0.6991973671417325,8.982567512385486,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,12063.781517797945,0.33,0.33,-0.002,410.227157371388,1.756043970766541,11774.8525390625,264.1347351074219,-506.6070556640625,eta_4_x,0.0,3.2951885534482024,9618.25390625,2771.93798828125,-506.6070556640625,eta_3_top,0.0
