,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
1690,1311,12347.01092565676,3585.3735577454136,798.8815232635277,602.0926092228632,3629.772668823387,16.254057103950352,16.265193821333135,11.551105750050128,426.9988671892279,22.9370010382946,24.12529540288328,221.8025268567288,43.39695075133511,382.7668719199769,0.1782369892921809,-2.295366230976768,-0.002,413.3882216735751,3585.3735577454136,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1691,1312,11151.779315140442,18025.14761693741,223.56256932166423,951.644188964578,2574.9810576196437,28.9312249840466,16.445638896292216,20.6940126340024,441.4548734565092,12.00195666616075,25.98638237158922,458.0555050321687,31.34716346064819,358.6065928258167,0.1531998294431962,-25.80448063437677,-0.002,387.29512025188205,18025.14761693741,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1692,1312,11151.779315140442,18025.14761693741,223.56256932166423,951.644188964578,2574.9810576196437,28.9312249840466,16.445638896292216,20.6940126340024,441.4548734565092,12.00195666616075,25.98638237158922,458.0555050321687,31.34716346064819,358.6065928258167,0.1531998294431962,-25.80448063437677,-0.002,387.29512025188205,18025.14761693741,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1693,1313,13092.162229580175,5135.01247246061,584.5566166850358,312.7762978491513,2019.9845807694276,12.352165577966211,25.49631445119229,19.152972764594217,381.9092888633379,15.294868876154112,11.840251790920874,179.6506063304421,30.83289397334997,437.1033666356869,0.6125005099778156,-2.9855842724009705,-0.002,472.0716359665419,5135.01247246061,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1694,1313,13092.162229580175,5135.01247246061,584.5566166850358,312.7762978491513,2019.9845807694276,12.352165577966211,25.49631445119229,19.152972764594217,381.9092888633379,15.294868876154112,11.840251790920874,179.6506063304421,30.83289397334997,437.1033666356869,0.6125005099778156,-2.9855842724009705,-0.002,472.0716359665419,5135.01247246061,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1695,1314,14445.38648032652,6991.773467416204,655.9594648115499,285.6560608491132,2546.766128936221,12.004695199526171,17.938335508206478,10.94215789750185,381.3212737908949,28.38835569773216,10.23995808825314,404.897007080555,26.60015927683118,344.5220384822518,0.1993811167609855,36.79794429069368,-0.002,372.083801560832,6991.773467416204,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1696,1314,14445.38648032652,6991.773467416204,655.9594648115499,285.6560608491132,2546.766128936221,12.004695199526171,17.938335508206478,10.94215789750185,381.3212737908949,28.38835569773216,10.23995808825314,404.897007080555,26.60015927683118,344.5220384822518,0.1993811167609855,36.79794429069368,-0.002,372.083801560832,6991.773467416204,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1697,1315,16296.77936273307,12124.9568890627,746.0630993012757,466.5397357381884,2133.696902359645,19.42768268385827,22.42319074783044,11.455313795052026,256.0558392732014,17.434021382516057,14.4407843455233,201.09847556021464,40.25717766486976,352.3276686758796,0.7859269940926041,7.378217672966137,-0.002,380.51388216995,12124.9568890627,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1698,1316,15816.90646572842,8947.44722704764,831.7626466797803,997.8674233917592,2323.801248005337,22.385863869557166,13.53664114970287,10.08356449974746,417.21237822422734,23.512370259355272,25.19892355566856,414.7089253203731,35.06298939243923,428.0241906945063,0.5394818125356208,-30.88377367446193,-0.002,462.2661259500668,8947.44722704764,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.557397691181898,311.9850158691406,14302.3203125,-781.6564331054688,eta_4_x,0.0,1.0669825561929276,311.9850158691406,7894.3466796875,-781.6564331054688,eta_3_top,0.0
1699,1316,15816.90646572842,8947.44722704764,831.7626466797803,997.8674233917592,2323.801248005337,22.385863869557166,13.53664114970287,10.08356449974746,417.21237822422734,23.512370259355272,25.19892355566856,414.7089253203731,35.06298939243923,428.0241906945063,0.5394818125356208,-30.88377367446193,-0.002,462.2661259500668,8947.44722704764,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.557397691181898,311.9850158691406,14302.3203125,-781.6564331054688,eta_4_x,0.0,1.0669825561929276,311.9850158691406,7894.3466796875,-781.6564331054688,eta_3_top,0.0
1700,1317,15185.659931678503,9061.06971878268,1019.0320558294466,393.5086234786928,3092.244028520775,23.58632144900539,18.53474753367764,25.74036347264768,330.7930633372384,12.40494047710918,11.297535289230268,170.6887947766519,25.3813713720895,397.3381989626706,0.5731670157447382,-15.4810344379961,-0.002,429.1252548796843,9061.06971878268,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1701,1318,12994.087793396264,7942.551486870336,882.0569595038979,866.4052404112867,2477.707494952504,28.77562404431807,23.770459420361387,22.364085176015877,322.2444931144894,15.82114321125638,13.755825223101269,110.05123854918362,25.386863401087894,418.1058562971952,0.5071362984437043,9.01117802325205,-0.002,451.5543248009709,7942.551486870336,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.9512821831094005,7657.21337890625,422.87542724609375,-833.72509765625,eta_4_x,0.0,5.414353814643008,7657.21337890625,6499.53076171875,-833.72509765625,eta_3_top,0.0
1702,1319,11344.961782941604,9849.192114697718,1092.7475701909837,624.9924909914726,3420.4201681144787,17.9075200368054,20.015081855946903,13.992966589198044,135.97858175037928,13.27305519150064,22.98309706890252,277.54787243520434,46.721286366031975,371.4159062048213,0.1171846261996819,12.445389391731268,-0.002,401.129178701207,9849.192114697718,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.8951804361405964,343.4276428222656,10454.6416015625,-1331.2784423828125,eta_4_x,0.0,6.504568967839527,343.4276428222656,10454.6416015625,-1982.95556640625,eta_3_bot,0.0
1703,1320,3304.042872994128,8922.848326590847,804.3962669718428,631.8309798022117,3554.6139962507687,18.40879723485272,26.04205899995677,11.97273635023967,307.43403390406866,27.11579557412513,14.502642975235151,361.1143401521544,40.227689634707474,311.52014394352096,0.5312240356726504,-35.05082770425122,-0.002,336.44175545900265,8922.848326590847,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,11.999050215561017,7085.40869140625,268.2301330566406,-4111.12109375,eta_4_x,0.0,52.363611155317166,5577.95263671875,268.2301330566406,-4111.12109375,eta_3_bot,0.0
1704,1321,2479.0073695714696,18537.26921499372,789.5692325419615,1106.0432160155706,4299.726416759082,22.15444655374529,15.541685277603325,23.242062447402617,443.40970236524055,27.401228926994392,12.960279965552536,178.78540757297577,28.552354619132142,306.47005869681425,0.4812042069708602,-39.2558523712305,-0.002,330.9876633925594,18537.26921499372,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,10.609862381401657,7725.48583984375,1277.2174072265625,-741.716552734375,eta_4_x,0.0,58.632940014683946,7725.48583984375,1015.6326293945312,-741.716552734375,eta_3_bot,0.0
1705,1321,2479.0073695714696,18537.26921499372,789.5692325419615,1106.0432160155706,4299.726416759082,22.15444655374529,15.541685277603325,23.242062447402617,443.40970236524055,27.401228926994392,12.960279965552536,178.78540757297577,28.552354619132142,306.47005869681425,0.4812042069708602,-39.2558523712305,-0.002,330.9876633925594,18537.26921499372,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,10.609862381401657,7725.48583984375,1277.2174072265625,-741.716552734375,eta_4_x,0.0,58.632940014683946,7725.48583984375,1015.6326293945312,-741.716552734375,eta_3_bot,0.0
1706,1322,15649.042489280577,12419.129184673004,718.8690061017573,1058.0783537357806,3893.560425536221,11.30270588341533,23.06486827543528,17.52741653828062,489.3547761036831,24.66117848545334,14.026947112201356,492.9216701977229,32.807573962930164,369.6694230604133,0.1219537227275364,-34.75039138351678,-0.002,399.2429769052464,12419.129184673004,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1707,1323,12458.115587767854,8907.275136138578,899.4260601396742,544.5546903821325,2333.368843593502,14.685162102079822,22.133631424216755,24.391955389729706,131.6352984337324,28.04061104302678,29.402172243266524,282.1678611705996,31.304381533947915,360.0146521998065,0.7513165999415706,31.229836974183243,-0.002,388.8158243757911,8907.275136138578,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.8902965919079655,8587.279296875,5567.01025390625,-860.320556640625,eta_1_x,0.0,2.3479942890549217,8587.279296875,6346.55029296875,-860.320556640625,eta_3_top,0.0
1708,1324,9736.321011182865,15561.841604139392,791.0876452343316,803.2930305483787,2707.693253431654,17.192064357595505,25.445554014604596,16.056987807662175,196.1924488480215,17.076667823422717,10.260409189789296,377.2481267934333,29.398948871452628,392.8603045312804,0.4608814324643948,44.5413415730693,-0.002,424.2891288937829,15561.841604139392,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,1.7342157833235827,15189.1337890625,8572.576171875,-979.914794921875,eta_4_x,0.0,5.356403202112148,15189.1337890625,8572.576171875,-1495.7991943359375,eta_3_bot,0.0
1709,1325,6311.145453574783,11247.741461196189,1131.9416948641483,687.293182077319,4998.227744167534,13.537855036800403,11.83464731341227,18.63346692898735,116.7921642488186,12.507333979132625,29.69493836516673,295.0411671004423,33.27930092853397,300.59828012862675,0.8527839652887796,48.60720708076535,-0.002,324.64614253891693,11247.741461196189,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,6.541602065822192,10843.6630859375,296.2470703125,-3140.48193359375,eta_1_x,0.0,24.02845699242339,10843.6630859375,296.2470703125,-5781.6064453125,eta_3_bot,0.0
1710,1326,6232.549732031304,17958.075731285287,274.3280242585905,659.9503078926919,2935.9188704961966,28.194493135391276,27.465744094070608,18.763625228420395,196.7728420182499,29.66772985035696,11.26725195080972,286.6505611091223,39.341142633142994,385.7321544453587,0.8196339945611076,-18.585138079922164,-0.002,416.5907268009874,17958.075731285287,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.861627059947799,13980.6982421875,129.5391845703125,-226.61880493164065,eta_4_x,0.0,4.7107695535271095,14303.271484375,483.4468078613281,-226.61880493164065,eta_3_bot,0.0
1711,1327,6483.6636517275065,8954.772841988995,1030.4634843348658,591.2033021315606,2471.022642763417,26.535175121662515,15.544887625317177,20.151838898490624,294.3021289931597,14.351471494038114,20.11468783962732,150.51410412615695,29.74967204267236,438.5777769759428,0.5955207909924832,31.42831852355836,-0.002,473.66399913401824,8954.772841988995,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,7.034940392398447,8633.0703125,5686.998046875,-968.6356811523438,eta_4_x,0.0,19.11684264134352,8633.0703125,248.30538940429688,-1673.5787353515625,eta_3_bot,0.0
1712,1328,3037.845057316394,7139.976978457502,849.0649048904107,913.0377770555714,3323.867628855441,25.49692598105704,25.288317847151703,27.97357801633616,301.19455937159057,26.044575664541185,23.67428302805687,166.5583351742408,28.03255797745416,388.17132203846506,0.7383881387148182,-20.240060907691248,-0.002,419.2250278015423,7139.976978457502,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,42.17621353967708,6626.96630859375,1571.799072265625,-801.2302856445312,eta_4_x,0.0,69.38982582208246,6626.96630859375,405.08013916015625,-3941.135498046875,eta_3_bot,0.0
1713,1329,9899.570002355333,4459.551654841588,687.468826436424,717.2631282462844,3664.088497170741,20.297407458209506,11.957261122310776,12.995227777714332,162.6943307259872,22.557054397887427,28.61996291360199,139.22775734601538,45.43846470963861,405.5225548350662,0.2945919272105264,-47.04621209864385,-0.002,437.9643592218715,4459.551654841588,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,3.800296366597701,310.9966735839844,7987.400390625,-640.0571899414062,eta_4_x,0.0,18.132798757186663,310.9966735839844,3360.037353515625,-640.0571899414062,eta_3_top,0.0
